5617626.45427,2,cfff125,4,8,8c,08,55,08,4b,08,01,00,278256288,2024-05-31 17:23:57
5617626.45623,1,cf02ae2,4,8,c4,7c,3b,7d,28,7d,00,05,278256289,2024-05-31 17:23:57
5617626.45679,1,8f02de2,4,8,d7,7c,09,7d,d2,80,00,00,278256290,2024-05-31 17:23:57
5617626.45734,1,cf029e2,4,8,33,4f,7d,05,d5,7b,00,05,278256291,2024-05-31 17:23:57
5617626.46428,2,cfff225,4,8,d3,07,1a,08,1a,08,01,00,278256292,2024-05-31 17:23:57
5617626.46624,1,cf02ae2,4,8,bf,7c,3c,7d,24,7d,00,05,278256293,2024-05-31 17:23:57
5617626.4668,1,8f02de2,4,8,d7,7c,09,7d,d2,80,00,00,278256294,2024-05-31 17:23:57
5617626.46734,1,cf029e2,4,8,2c,4f,7d,f4,d4,7b,00,05,278256295,2024-05-31 17:23:57
5617626.4696,1,9f8027f,4,8,00,fc,e1,51,00,00,ff,ff,278256296,2024-05-31 17:23:57
5617626.47014,1,9f8017f,4,8,b0,0e,9e,16,a5,8f,fa,b6,278256297,2024-05-31 17:23:57
5617626.47071,1,9f1127f,4,8,00,03,ca,ff,7f,ba,08,fd,278256298,2024-05-31 17:23:57
5617626.47127,1,df1137f,4,8,00,cb,a1,09,00,00,ff,ff,278256299,2024-05-31 17:23:57
5617626.47624,1,cf02ae2,4,8,bf,7c,3d,7d,22,7d,00,05,278256300,2024-05-31 17:23:57
5617626.4768,1,8f02de2,4,8,d7,7c,09,7d,d2,80,00,00,278256301,2024-05-31 17:23:57
5617626.47734,1,cf029e2,4,8,1b,4f,7d,e5,d4,7b,00,05,278256302,2024-05-31 17:23:57
5617626.48624,1,cf02ae2,4,8,c2,7c,3d,7d,24,7d,00,05,278256303,2024-05-31 17:23:57
5617626.48679,1,8f02de2,4,8,d7,7c,09,7d,d2,80,00,00,278256304,2024-05-31 17:23:57
5617626.48734,1,cf029e2,4,8,0a,4f,7d,d5,d4,7b,00,05,278256305,2024-05-31 17:23:57
5617626.48775,2,cff3134,4,8,00,00,00,18,00,00,00,00,278256306,2024-05-31 17:23:57
5617626.49624,1,cf02ae2,4,8,c1,7c,39,7d,23,7d,00,05,278256307,2024-05-31 17:23:57
5617626.4968,1,8f02de2,4,8,d6,7c,09,7d,d2,80,00,00,278256308,2024-05-31 17:23:57
5617626.49734,1,cf029e2,4,8,ff,4e,7d,c2,d4,7b,00,05,278256309,2024-05-31 17:23:57
5617626.49776,2,cff3334,4,8,00,00,00,00,01,00,00,00,278256310,2024-05-31 17:23:57
5617626.50428,2,cfff125,4,8,8e,08,56,08,4a,08,01,00,278256311,2024-05-31 17:23:57
5617626.50624,1,cf02ae2,4,8,c0,7c,34,7d,25,7d,00,05,278256312,2024-05-31 17:23:57
5617626.5068,1,8f02de2,4,8,d6,7c,0a,7d,d2,80,00,00,278256313,2024-05-31 17:23:57
5617626.50734,1,cf029e2,4,8,f3,4e,7d,a4,d4,7b,00,05,278256314,2024-05-31 17:23:57
5617626.51624,1,cf02ae2,4,8,bf,7c,39,7d,27,7d,00,05,278256315,2024-05-31 17:23:57
5617626.5168,1,8f02de2,4,8,d6,7c,0a,7d,d2,80,00,00,278256316,2024-05-31 17:23:57
5617626.51735,1,cf029e2,4,8,f1,4e,7d,7d,d4,7b,00,05,278256317,2024-05-31 17:23:57
5617626.52428,2,cfff225,4,8,d3,07,1a,08,19,08,01,00,278256318,2024-05-31 17:23:57
5617626.52624,1,cf02ae2,4,8,c2,7c,3c,7d,24,7d,00,05,278256319,2024-05-31 17:23:57
5617626.52679,1,8f02de2,4,8,d7,7c,0a,7d,d2,80,00,00,278256320,2024-05-31 17:23:57
5617626.52733,1,cf029e2,4,8,ef,4e,7d,6b,d4,7b,00,05,278256321,2024-05-31 17:23:57
5617626.53624,1,cf02ae2,4,8,bc,7c,3b,7d,24,7d,00,05,278256322,2024-05-31 17:23:57
5617626.5368,1,8f02de2,4,8,d7,7c,0a,7d,d2,80,00,00,278256323,2024-05-31 17:23:57
5617626.53734,1,cf029e2,4,8,ed,4e,7d,6a,d4,7b,00,05,278256324,2024-05-31 17:23:57
5617626.54625,1,cf02ae2,4,8,c0,7c,3d,7d,21,7d,00,05,278256325,2024-05-31 17:23:57
5617626.54681,1,8f02de2,4,8,d7,7c,0a,7d,d2,80,00,00,278256326,2024-05-31 17:23:57
5617626.54735,1,cf029e2,4,8,df,4e,7d,68,d4,7b,00,05,278256327,2024-05-31 17:23:57
5617626.54774,2,cff8934,4,8,02,00,14,99,00,00,00,00,278256328,2024-05-31 17:23:57
5617626.55625,1,cf02ae2,4,8,c1,7c,3f,7d,20,7d,00,05,278256329,2024-05-31 17:23:57
5617626.55681,1,8f02de2,4,8,d7,7c,0a,7d,d2,80,00,00,278256330,2024-05-31 17:23:57
5617626.55736,1,cf029e2,4,8,e0,4e,7d,67,d4,7b,00,05,278256331,2024-05-31 17:23:57
5617626.56428,2,cfff125,4,8,8d,08,56,08,4a,08,01,00,278256332,2024-05-31 17:23:57
5617626.56624,1,cf02ae2,4,8,c2,7c,3e,7d,20,7d,00,05,278256333,2024-05-31 17:23:57
